,lat,long,number_of_tweets,location
0,37.592907395183,-0.861397418645227,5166,"La Unión, Murcia, Spain"
1,41.034680096258,-1.51000534914797,65,"Castillo de Santed, A-211, Santed, Spain"
2,41.0814599453551,-1.28096633102302,120,"Lechón, Aragon, Spain"
3,41.2180378514771,-1.05978082498689,497,"Herrera de los Navarros, Aragon, Spain"
4,41.239133314778,-0.9061736010992,2260,"Azuara, Aragon, Spain"
5,41.2740315848815,-1.62992147042602,7379,"Camino de San Fabián, 50340 Maluenda, Spain"
6,41.3342560537883,-1.63390556152125,21093,"Autovía del Nordeste, 50300 Calatayud, Spain"
7,41.3356157573223,-1.18900072654256,7360,"A-220, 50400 Villanueva de Huerva, Spain"
8,41.3407884384353,-0.368673930749514,7,"Camino de la Paridera, Cinco Olivas, Spain"
9,41.3670186082171,-1.30495862719767,1940,"Cabañera de la Carrasca, 50409 Cosuenda, Spain"
10,41.4046240416163,-1.49229345287382,3168,"A-1505, El Frasno, Spain"
11,41.4228607368988,-1.87748682263326,263,"Villalengua, Aragon, Spain"
12,41.5903206313826,-1.94760388985605,31,"Torrelapaja, Aragon, Spain"
13,41.6120918173351,-1.58805197439777,242,"Tierga, Aragon, Spain"
14,41.6423975884496,-1.35427442702882,162,"50290 Lumpiaque, Spain"
15,41.6910283772463,-1.76709497363655,10,"Barranco la Virgen, Purujosa, Spain"
16,41.866431610908,-1.72400871156994,180,"50050 Grisel, Spain"
17,42.4837280136451,-1.05816371762289,57,"A-2603, 50687 Isuerre, Spain"
